                                                                                     Stack                                                 Input           Output
49                                $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45b35(37                                    v);di(non)fb(v);d$         Shift 39
50                             $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45b35(37v39                                     );di(non)fb(v);d$         Shift 41
51                          $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45b35(37v39)41                                      ;di(non)fb(v);d$         Shift 43
52                       $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45b35(37v39)41;43                                       di(non)fb(v);d$  Reduce T->b(v);
53                                   $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46                                       di(non)fb(v);d$         Shift 47
54                                $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47                                        i(non)fb(v);d$         Shift 48
55                             $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48                                         (non)fb(v);d$         Shift 49
56                          $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49                                          non)fb(v);d$         Shift 22
57                       $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49n22                                           on)fb(v);d$      Reduce A->n
58                       $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49A20                                           on)fb(v);d$      Reduce X->A
59                       $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49X19                                           on)fb(v);d$         Shift 26
60                    $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49X19o26                                            n)fb(v);d$      Reduce R->o
61                    $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49X19R25                                            n)fb(v);d$         Shift 32
62                 $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49X19R25n32                                             )fb(v);d$      Reduce A->n
63                 $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49X19R25A30                                             )fb(v);d$      Reduce X->A
64                 $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49X19R25X29                                             )fb(v);d$    Reduce E->XRX
65                       $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49E50                                             )fb(v);d$         Shift 51
66                    $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49E50)51                                              fb(v);d$         Shift 52
67                 $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49E50)51f52                                               b(v);d$         Shift 35
68              $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49E50)51f52b35                                                (v);d$         Shift 37
69           $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49E50)51f52b35(37                                                 v);d$         Shift 39
70        $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49E50)51f52b35(37v39                                                  );d$         Shift 41
71     $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49E50)51f52b35(37v39)41                                                   ;d$         Shift 43
72  $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49E50)51f52b35(37v39)41;43                                                    d$  Reduce T->b(v);
73              $0t2p3(4)5f6D8i12(15E18)24f28T34d36i38(40E42)44f45T46d47i48(49E50)51f52T53                                                    d$         Shift 54
